zip,internet_adoption_rate,median_income,total_population,pct_seniors,pct_under18,poverty_rate,pct_white,pct_black,pct_hispanic,pct_bachelor_plus,acs_year,avg_household_size,city,state,NAME,area_data_type,geography_type,geography_id,geography_desc,total_units,biz_res,technology,speed_02_02,fcc_10mbps_coverage,fcc_25mbps_coverage,fcc_100mbps_coverage,fcc_250mbps_coverage,fcc_gigabit_coverage,cluster,lime_top_features,MSA,County
76527,0.5962691538974018,71366,4141,0.12001931900507123,0.27553730982854385,0.04644412191582003,0.816469451823231,0.010625452789181358,0.23182806085486599,0.11929485631489978,2022,2.76,FLORENCE,TX,"florence, texas",Total,Census Place,4826136,Florence,595,R,Any Technology,1.0,1.0,1.0,1.0,0.7479,0.0134,1,"% Bachelor Plus: 12%, % White: 82%, Median Income: $71,366",Austin,Williamson County
76530,0.4454828660436137,76953,2424,0.20462046204620463,0.15841584158415842,0.10647544545849631,0.7854785478547854,0.04702970297029703,0.18935643564356436,0.12128712871287128,2022,2.39,GRANGER,TX,"granger, texas",Total,Census Place,4830548,Granger,672,R,Any Technology,1.0,1.0,1.0,1.0,1.0,1.0,1,"% Bachelor Plus: 12%, % White: 79%, % Hispanic: 19%",Austin,Williamson County
76537,0.6985573272589218,88250,11501,0.09068776628119293,0.272932788453178,0.0859279874760828,0.6332492826710721,0.06964611772889313,0.36457699330493,0.12911920702547605,2022,2.91,JARRELL,TX,"jarrell, texas",Total,Census Place,4837396,Jarrell,1645,R,Any Technology,1.0,1.0,1.0,1.0,0.9745,0.9733,0,"% Bachelor Plus: 13%, Avg Household Size: 2.9, Median Income: $88,250",Austin,Williamson County
76574,0.675904241478012,68360,19629,0.19736104742982322,0.22940547149625554,0.10847107438016529,0.6805746599419227,0.06811350552753578,0.4025166844974273,0.1317438483875898,2022,2.52,TAYLOR,TX,"taylor, texas",Total,Census Place,4871948,Taylor,7852,R,Any Technology,1.0,1.0,1.0,1.0,0.9455,0.7387,0,"% Bachelor Plus: 13%, Median Income: $68,360, % Seniors: 20%",Austin,Williamson County
76578,0.4369565217391304,92188,1232,0.14935064935064934,0.20292207792207792,0.04301948051948052,0.6883116883116883,0.03409090909090909,0.30438311688311687,0.14853896103896103,2022,2.68,THRALL,TX,"thrall, texas",Total,Census Place,4872824,Thrall,437,R,Any Technology,1.0,1.0,1.0,1.0,0.8924,0.0,1,"% Bachelor Plus: 15%, Poverty Rate: 4%, % Black: 3%",Austin,Williamson County
78602,0.612953283240771,82500,34978,0.15887129052547316,0.21730802218537365,0.10401021556048767,0.6914632054434215,0.05126079249814169,0.3634856195322774,0.16827720281319686,2022,2.68,BASTROP,TX,"bastrop, texas",Total,Census Place,4805864,Bastrop,6513,R,Any Technology,1.0,1.0,1.0,1.0,0.9318,0.3493,0,"% Bachelor Plus: 17%, % Seniors: 16%, Median Income: $82,500",Austin,Bastrop County
78610,0.8233751638883686,103562,44410,0.1022517451024544,0.258815582076109,0.06994094576928278,0.7266606620130601,0.03357351947759513,0.4377617653681603,0.2591308263904526,2022,2.77,BUDA,TX,"buda, texas",Total,Census Place,4811080,Buda,6212,R,Any Technology,1.0,1.0,1.0,1.0,0.8852,0.1326,0,"% Black: 3%, % Bachelor Plus: 26%, % White: 73%",Austin,Hays County
78613,0.8715781356585699,116893,88189,0.10721291771082561,0.2433183276825908,0.05723210926544526,0.7181394504983615,0.034482758620689655,0.2046060166233884,0.34534919321003754,2022,2.6,CEDAR PARK,TX,"cedar park, texas",Total,Census Place,4813552,Cedar Park,31718,R,Any Technology,1.0,1.0,1.0,1.0,0.9357,0.2436,1,"% Hispanic: 20%, % Bachelor Plus: 35%, % Black: 3%",Austin,Williamson County
78620,0.744,138639,19893,0.15000251344694113,0.25431056150404663,0.049926874779363556,0.8585432061529181,0.010707283969235409,0.10863117679585783,0.3976775750263912,2022,2.83,DRIPPING SPRINGS,TX,"dripping springs, texas",Total,Census Place,4821424,Dripping Springs,3886,R,Any Technology,1.0,1.0,1.0,1.0,0.9897,0.0641,1,"Median Income: $138,639, % Hispanic: 11%, % White: 86%",Austin,Hays County
78621,0.5326397622041843,92103,26133,0.13817778287988366,0.2646462327325604,0.09192330040674027,0.5746756973940994,0.08946542685493437,0.447403665863085,0.14357325986300845,2022,2.96,ELGIN,TX,"elgin, texas",Total,Census Place,4823044,Elgin,5103,R,Any Technology,1.0,1.0,1.0,1.0,0.9261,0.4983,0,"% Hispanic: 45%, % Bachelor Plus: 14%, % White: 57%",Austin,Bastrop County
